"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 17:47:06 GMT 2024","Mon Jun 03 17:47:06 GMT 2024","79","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"passed","Mon Jun 03 17:47:05 GMT 2024","Mon Jun 03 17:47:05 GMT 2024","151","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Mon Jun 03 17:46:57 GMT 2024","Mon Jun 03 17:46:57 GMT 2024","105","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectOnlyWithIDAndName","userCanCreateProjectOnlyWithIDAndName",""
"passed","Mon Jun 03 17:46:57 GMT 2024","Mon Jun 03 17:46:57 GMT 2024","160","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantCreateBuildConfigurationWithoutName","userCantCreateBuildConfigurationWithoutName",""
"passed","Mon Jun 03 17:48:05 GMT 2024","Mon Jun 03 17:48:08 GMT 2024","3092","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","userShouldNotBeAbleToCreateNewProjectWithInvalidUrl","userShouldNotBeAbleToCreateNewProjectWithInvalidUrl",""
"passed","Mon Jun 03 17:47:01 GMT 2024","Mon Jun 03 17:47:01 GMT 2024","90","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectOutOfCharactersLimitTest","userCantCreateProjectOutOfCharactersLimitTest",""
"passed","Mon Jun 03 17:48:00 GMT 2024","Mon Jun 03 17:48:05 GMT 2024","4882","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","userShouldNotBeAbleToCreateNewProjectWithEmptyValues","userShouldNotBeAbleToCreateNewProjectWithEmptyValues",""
"passed","Mon Jun 03 17:46:54 GMT 2024","Mon Jun 03 17:46:55 GMT 2024","233","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithSpecificCharactersInName","userCanCreateBuildConfigurationWithSpecificCharactersInName",""
"passed","Mon Jun 03 17:47:06 GMT 2024","Mon Jun 03 17:47:06 GMT 2024","24","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"passed","Mon Jun 03 17:47:58 GMT 2024","Mon Jun 03 17:47:59 GMT 2024","1778","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","projectShouldNotBeCreatedWithEmptyUrl","projectShouldNotBeCreatedWithEmptyUrl",""
