"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 03 16:47:52 GMT 2024","Mon Jun 03 16:47:58 GMT 2024","5611","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanAddNewBuildConfigurationToProject","userCanAddNewBuildConfigurationToProject",""
"passed","Mon Jun 03 16:48:13 GMT 2024","Mon Jun 03 16:48:13 GMT 2024","72","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithSpecialCharacterInID","userCantCreateProjectWithSpecialCharacterInID",""
"passed","Mon Jun 03 16:48:09 GMT 2024","Mon Jun 03 16:48:09 GMT 2024","185","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithSpecialCharacterInName","userCanCreateProjectWithSpecialCharacterInName",""
"passed","Mon Jun 03 16:48:14 GMT 2024","Mon Jun 03 16:48:14 GMT 2024","80","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithoutName","userCantCreateProjectWithoutName",""
"passed","Mon Jun 03 16:48:02 GMT 2024","Mon Jun 03 16:48:03 GMT 2024","257","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantCreateBuildConfigurationWithEmptyStringAsName","userCantCreateBuildConfigurationWithEmptyStringAsName",""
"broken","Mon Jun 03 16:47:59 GMT 2024","Mon Jun 03 16:47:59 GMT 2024","301","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithIdInCharacterLimit","userCanCreateBuildConfigurationWithIdInCharacterLimit",""
"passed","Mon Jun 03 16:48:17 GMT 2024","Mon Jun 03 16:48:17 GMT 2024","139","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Mon Jun 03 16:48:49 GMT 2024","Mon Jun 03 16:48:59 GMT 2024","10017","UI Suite","UI Test","com.example.dztc.ui.CreateBuildConfigurationTest","com.example.dztc.ui.CreateBuildConfigurationTest","authorizedUserToCreateBuildConfiguration","authorizedUserToCreateBuildConfiguration",""
"passed","Mon Jun 03 16:48:06 GMT 2024","Mon Jun 03 16:48:07 GMT 2024","141","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectTest","userCanCreateProjectTest",""
"passed","Mon Jun 03 16:48:04 GMT 2024","Mon Jun 03 16:48:06 GMT 2024","1435","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectOnlyWithIDAndName","userCanCreateProjectOnlyWithIDAndName",""
"passed","Mon Jun 03 16:48:59 GMT 2024","Mon Jun 03 16:49:07 GMT 2024","7976","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","authorizedUserShouldBeAbleToCreateNewProject","authorizedUserShouldBeAbleToCreateNewProject",""
"broken","Mon Jun 03 16:48:00 GMT 2024","Mon Jun 03 16:48:00 GMT 2024","237","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithSpecificCharactersInName","userCanCreateBuildConfigurationWithSpecificCharactersInName",""
"passed","Mon Jun 03 16:48:02 GMT 2024","Mon Jun 03 16:48:02 GMT 2024","321","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantAddBuildConfigurationToDeletedProject","userCantAddBuildConfigurationToDeletedProject",""
"passed","Mon Jun 03 16:48:11 GMT 2024","Mon Jun 03 16:48:11 GMT 2024","151","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectOutOfCharactersLimitTest","userCantCreateProjectOutOfCharactersLimitTest",""
"broken","Mon Jun 03 16:48:27 GMT 2024","Mon Jun 03 16:48:49 GMT 2024","21943","UI Suite","UI Test","com.example.dztc.ui.CreateBuildConfigurationTest","com.example.dztc.ui.CreateBuildConfigurationTest","authorizedUserCanManuallyCreateBuildConfiguration","authorizedUserCanManuallyCreateBuildConfiguration",""
"passed","Mon Jun 03 16:48:15 GMT 2024","Mon Jun 03 16:48:15 GMT 2024","73","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithoutNameTest","userCantCreateProjectWithoutNameTest",""
"passed","Mon Jun 03 16:48:04 GMT 2024","Mon Jun 03 16:48:04 GMT 2024","140","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantCreateBuildConfigurationWithoutName","userCantCreateBuildConfigurationWithoutName",""
"passed","Mon Jun 03 16:48:08 GMT 2024","Mon Jun 03 16:48:08 GMT 2024","156","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithParentProjectAndNotCopyAssociatedSettings","userCanCreateProjectWithParentProjectAndNotCopyAssociatedSettings",""
"passed","Mon Jun 03 16:49:10 GMT 2024","Mon Jun 03 16:49:15 GMT 2024","4540","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","userShouldNotBeAbleToCreateNewProjectWithEmptyValues","userShouldNotBeAbleToCreateNewProjectWithEmptyValues",""
"passed","Mon Jun 03 16:48:10 GMT 2024","Mon Jun 03 16:48:10 GMT 2024","142","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithinCharactersLimitTest","userCanCreateProjectWithinCharactersLimitTest",""
"passed","Mon Jun 03 16:48:18 GMT 2024","Mon Jun 03 16:48:18 GMT 2024","22","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"passed","Mon Jun 03 16:48:11 GMT 2024","Mon Jun 03 16:48:12 GMT 2024","186","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithDeletedParentProject","userCantCreateProjectWithDeletedParentProject",""
"passed","Mon Jun 03 16:47:36 GMT 2024","Mon Jun 03 16:47:40 GMT 2024","3418","Surefire suite","Surefire test","com.example.dztc.api.SetupTest","com.example.dztc.api.SetupTest","setAuthSettings","setAuthSettings",""
"passed","Mon Jun 03 16:47:59 GMT 2024","Mon Jun 03 16:48:00 GMT 2024","461","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithIdOutsideOfCharacterLimit","userCanCreateBuildConfigurationWithIdOutsideOfCharacterLimit",""
"passed","Mon Jun 03 16:49:07 GMT 2024","Mon Jun 03 16:49:10 GMT 2024","2616","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","projectShouldNotBeCreatedWithEmptyUrl","projectShouldNotBeCreatedWithEmptyUrl",""
"passed","Mon Jun 03 16:49:15 GMT 2024","Mon Jun 03 16:49:19 GMT 2024","3435","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","userShouldNotBeAbleToCreateNewProjectWithInvalidUrl","userShouldNotBeAbleToCreateNewProjectWithInvalidUrl",""
"broken","Mon Jun 03 16:48:16 GMT 2024","Mon Jun 03 16:48:16 GMT 2024","138","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"broken","Mon Jun 03 16:48:01 GMT 2024","Mon Jun 03 16:48:01 GMT 2024","245","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithoutIdTest","userCanCreateBuildConfigurationWithoutIdTest",""
"passed","Mon Jun 03 16:48:12 GMT 2024","Mon Jun 03 16:48:13 GMT 2024","196","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithSameNameTest","userCantCreateProjectWithSameNameTest",""
"passed","Mon Jun 03 16:48:03 GMT 2024","Mon Jun 03 16:48:03 GMT 2024","223","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantCreateBuildConfigurationWithSpecificCharactersInId","userCantCreateBuildConfigurationWithSpecificCharactersInId",""
"passed","Mon Jun 03 16:48:07 GMT 2024","Mon Jun 03 16:48:07 GMT 2024","177","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithParentProject","userCanCreateProjectWithParentProject",""
"passed","Mon Jun 03 16:48:17 GMT 2024","Mon Jun 03 16:48:17 GMT 2024","71","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
