"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 03 16:15:11 GMT 2024","Mon Jun 03 16:15:11 GMT 2024","32","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"broken","Mon Jun 03 16:14:59 GMT 2024","Mon Jun 03 16:14:59 GMT 2024","73","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantCreateBuildConfigurationWithEmptyStringAsName","userCantCreateBuildConfigurationWithEmptyStringAsName",""
"broken","Mon Jun 03 16:15:04 GMT 2024","Mon Jun 03 16:15:04 GMT 2024","83","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithinCharactersLimitTest","userCanCreateProjectWithinCharactersLimitTest",""
"broken","Mon Jun 03 16:14:57 GMT 2024","Mon Jun 03 16:14:57 GMT 2024","108","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithIdInCharacterLimit","userCanCreateBuildConfigurationWithIdInCharacterLimit",""
"broken","Mon Jun 03 16:14:58 GMT 2024","Mon Jun 03 16:14:58 GMT 2024","109","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithoutIdTest","userCanCreateBuildConfigurationWithoutIdTest",""
"broken","Mon Jun 03 16:15:08 GMT 2024","Mon Jun 03 16:15:08 GMT 2024","52","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithoutName","userCantCreateProjectWithoutName",""
"broken","Mon Jun 03 16:15:24 GMT 2024","Mon Jun 03 16:15:24 GMT 2024","63","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","userShouldNotBeAbleToCreateNewProjectWithEmptyValues","userShouldNotBeAbleToCreateNewProjectWithEmptyValues",""
"broken","Mon Jun 03 16:15:02 GMT 2024","Mon Jun 03 16:15:02 GMT 2024","65","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithParentProject","userCanCreateProjectWithParentProject",""
"passed","Mon Jun 03 16:14:37 GMT 2024","Mon Jun 03 16:14:41 GMT 2024","4303","Surefire suite","Surefire test","com.example.dztc.api.SetupTest","com.example.dztc.api.SetupTest","setAuthSettings","setAuthSettings",""
"broken","Mon Jun 03 16:15:10 GMT 2024","Mon Jun 03 16:15:10 GMT 2024","30","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Mon Jun 03 16:15:00 GMT 2024","Mon Jun 03 16:15:00 GMT 2024","116","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantCreateBuildConfigurationWithSpecificCharactersInId","userCantCreateBuildConfigurationWithSpecificCharactersInId",""
"broken","Mon Jun 03 16:15:24 GMT 2024","Mon Jun 03 16:15:24 GMT 2024","81","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","userShouldNotBeAbleToCreateNewProjectWithInvalidUrl","userShouldNotBeAbleToCreateNewProjectWithInvalidUrl",""
"broken","Mon Jun 03 16:15:03 GMT 2024","Mon Jun 03 16:15:03 GMT 2024","51","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithParentProjectAndNotCopyAssociatedSettings","userCanCreateProjectWithParentProjectAndNotCopyAssociatedSettings",""
"broken","Mon Jun 03 16:15:05 GMT 2024","Mon Jun 03 16:15:06 GMT 2024","79","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithDeletedParentProject","userCantCreateProjectWithDeletedParentProject",""
"passed","Mon Jun 03 16:15:12 GMT 2024","Mon Jun 03 16:15:12 GMT 2024","56","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"broken","Mon Jun 03 16:15:09 GMT 2024","Mon Jun 03 16:15:10 GMT 2024","677","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"broken","Mon Jun 03 16:15:07 GMT 2024","Mon Jun 03 16:15:07 GMT 2024","56","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithSpecialCharacterInID","userCantCreateProjectWithSpecialCharacterInID",""
