"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 03 15:50:27 GMT 2024","Mon Jun 03 15:50:27 GMT 2024","62","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectOutOfCharactersLimitTest","userCantCreateProjectOutOfCharactersLimitTest",""
"broken","Mon Jun 03 15:50:20 GMT 2024","Mon Jun 03 15:50:20 GMT 2024","107","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantAddBuildConfigurationToDeletedProject","userCantAddBuildConfigurationToDeletedProject",""
"broken","Mon Jun 03 15:50:26 GMT 2024","Mon Jun 03 15:50:26 GMT 2024","63","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithinCharactersLimitTest","userCanCreateProjectWithinCharactersLimitTest",""
"broken","Mon Jun 03 15:50:19 GMT 2024","Mon Jun 03 15:50:19 GMT 2024","140","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithSpecificCharactersInName","userCanCreateBuildConfigurationWithSpecificCharactersInName",""
"broken","Mon Jun 03 15:50:19 GMT 2024","Mon Jun 03 15:50:20 GMT 2024","112","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithoutIdTest","userCanCreateBuildConfigurationWithoutIdTest",""
"broken","Mon Jun 03 15:50:21 GMT 2024","Mon Jun 03 15:50:21 GMT 2024","68","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantCreateBuildConfigurationWithEmptyStringAsName","userCantCreateBuildConfigurationWithEmptyStringAsName",""
"passed","Mon Jun 03 15:49:58 GMT 2024","Mon Jun 03 15:50:02 GMT 2024","3897","Surefire suite","Surefire test","com.example.dztc.api.SetupTest","com.example.dztc.api.SetupTest","setAuthSettings","setAuthSettings",""
"broken","Mon Jun 03 15:50:13 GMT 2024","Mon Jun 03 15:50:17 GMT 2024","4169","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanAddNewBuildConfigurationToProject","userCanAddNewBuildConfigurationToProject",""
"broken","Mon Jun 03 15:50:22 GMT 2024","Mon Jun 03 15:50:22 GMT 2024","95","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectOnlyWithIDAndName","userCanCreateProjectOnlyWithIDAndName",""
"broken","Mon Jun 03 15:50:28 GMT 2024","Mon Jun 03 15:50:28 GMT 2024","56","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithSameNameTest","userCantCreateProjectWithSameNameTest",""
"broken","Mon Jun 03 15:50:27 GMT 2024","Mon Jun 03 15:50:27 GMT 2024","52","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithDeletedParentProject","userCantCreateProjectWithDeletedParentProject",""
"broken","Mon Jun 03 15:50:21 GMT 2024","Mon Jun 03 15:50:21 GMT 2024","76","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantCreateBuildConfigurationWithSpecificCharactersInId","userCantCreateBuildConfigurationWithSpecificCharactersInId",""
"broken","Mon Jun 03 15:50:25 GMT 2024","Mon Jun 03 15:50:25 GMT 2024","59","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithSpecialCharacterInName","userCanCreateProjectWithSpecialCharacterInName",""
"broken","Mon Jun 03 15:50:24 GMT 2024","Mon Jun 03 15:50:24 GMT 2024","92","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithParentProject","userCanCreateProjectWithParentProject",""
"broken","Mon Jun 03 15:50:18 GMT 2024","Mon Jun 03 15:50:18 GMT 2024","89","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithIdOutsideOfCharacterLimit","userCanCreateBuildConfigurationWithIdOutsideOfCharacterLimit",""
"broken","Mon Jun 03 15:50:29 GMT 2024","Mon Jun 03 15:50:29 GMT 2024","58","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithSpecialCharacterInID","userCantCreateProjectWithSpecialCharacterInID",""
"broken","Mon Jun 03 15:50:23 GMT 2024","Mon Jun 03 15:50:23 GMT 2024","60","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectTest","userCanCreateProjectTest",""
"broken","Mon Jun 03 15:50:24 GMT 2024","Mon Jun 03 15:50:24 GMT 2024","56","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithParentProjectAndNotCopyAssociatedSettings","userCanCreateProjectWithParentProjectAndNotCopyAssociatedSettings",""
"broken","Mon Jun 03 15:50:22 GMT 2024","Mon Jun 03 15:50:22 GMT 2024","60","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCantCreateBuildConfigurationWithoutName","userCantCreateBuildConfigurationWithoutName",""
"broken","Mon Jun 03 15:50:18 GMT 2024","Mon Jun 03 15:50:18 GMT 2024","142","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithIdInCharacterLimit","userCanCreateBuildConfigurationWithIdInCharacterLimit",""
