"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 03 16:07:17 GMT 2024","Mon Jun 03 16:07:17 GMT 2024","106","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectTest","userCanCreateProjectTest",""
"broken","Mon Jun 03 16:07:25 GMT 2024","Mon Jun 03 16:07:25 GMT 2024","669","API Suite","API Test","com.example.dztc.api.RolesTest","com.example.dztc.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"broken","Mon Jun 03 16:07:22 GMT 2024","Mon Jun 03 16:07:22 GMT 2024","39","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithSameNameTest","userCantCreateProjectWithSameNameTest",""
"broken","Mon Jun 03 16:07:14 GMT 2024","Mon Jun 03 16:07:14 GMT 2024","73","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithoutIdTest","userCanCreateBuildConfigurationWithoutIdTest",""
"broken","Mon Jun 03 16:07:24 GMT 2024","Mon Jun 03 16:07:24 GMT 2024","59","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithoutNameTest","userCantCreateProjectWithoutNameTest",""
"broken","Mon Jun 03 16:07:12 GMT 2024","Mon Jun 03 16:07:13 GMT 2024","123","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithIdOutsideOfCharacterLimit","userCanCreateBuildConfigurationWithIdOutsideOfCharacterLimit",""
"broken","Mon Jun 03 16:07:12 GMT 2024","Mon Jun 03 16:07:12 GMT 2024","126","API Suite","API Test","com.example.dztc.api.BuildConfigurationTest","com.example.dztc.api.BuildConfigurationTest","userCanCreateBuildConfigurationWithIdInCharacterLimit","userCanCreateBuildConfigurationWithIdInCharacterLimit",""
"broken","Mon Jun 03 16:07:40 GMT 2024","Mon Jun 03 16:07:40 GMT 2024","89","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","projectShouldNotBeCreatedWithEmptyUrl","projectShouldNotBeCreatedWithEmptyUrl",""
"broken","Mon Jun 03 16:07:40 GMT 2024","Mon Jun 03 16:07:40 GMT 2024","45","UI Suite","UI Test","com.example.dztc.ui.CreateNewProjectTest","com.example.dztc.ui.CreateNewProjectTest","userShouldNotBeAbleToCreateNewProjectWithInvalidUrl","userShouldNotBeAbleToCreateNewProjectWithInvalidUrl",""
"broken","Mon Jun 03 16:07:23 GMT 2024","Mon Jun 03 16:07:23 GMT 2024","52","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithoutName","userCantCreateProjectWithoutName",""
"broken","Mon Jun 03 16:07:23 GMT 2024","Mon Jun 03 16:07:23 GMT 2024","47","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCantCreateProjectWithSpecialCharacterInID","userCantCreateProjectWithSpecialCharacterInID",""
"broken","Mon Jun 03 16:07:39 GMT 2024","Mon Jun 03 16:07:39 GMT 2024","114","UI Suite","UI Test","com.example.dztc.ui.CreateBuildConfigurationTest","com.example.dztc.ui.CreateBuildConfigurationTest","authorizedUserToCreateBuildConfiguration","authorizedUserToCreateBuildConfiguration",""
"broken","Mon Jun 03 16:07:20 GMT 2024","Mon Jun 03 16:07:20 GMT 2024","50","API Suite","API Test","com.example.dztc.api.ProjectTest","com.example.dztc.api.ProjectTest","userCanCreateProjectWithinCharactersLimitTest","userCanCreateProjectWithinCharactersLimitTest",""
